INDEX,STOCKS
NIFTY 100,HDFCBANK
NIFTY 100,ETERNAL
NIFTY 100,RELIANCE
NIFTY 100,ICICIBANK
NIFTY 100,LT
NIFTY 100,AXISBANK
NIFTY 100,SBIN
NIFTY 100,VEDL
NIFTY 100,ONGC
NIFTY 100,SHRIRAMFIN
NIFTY 100,INFY
NIFTY 100,BAJFINANCE
NIFTY 100,M&M
NIFTY 100,TCS
NIFTY 100,BHARTIARTL
NIFTY 100,COALINDIA
NIFTY 100,BEL
NIFTY 100,INDIGO
NIFTY 100,GRASIM
NIFTY 100,ITC
NIFTY 100,MAZDOCK
NIFTY 100,BPCL
NIFTY 100,KOTAKBANK
NIFTY 100,JIOFIN
NIFTY 100,TATASTEEL
NIFTY 100,IOC
NIFTY 100,HINDALCO
NIFTY 100,HAL
NIFTY 100,MARUTI
NIFTY 100,TATAPOWER
NIFTY 100,HINDZINC
NIFTY 100,PFC
NIFTY 100,HINDUNILVR
NIFTY 100,EICHERMOT
NIFTY 100,TMPV
NIFTY 100,CANBK
NIFTY 100,ADANIPOWER
NIFTY 100,VBL
NIFTY 100,JSWSTEEL
NIFTY 100,ADANIENT
NIFTY 100,ADANIPORTS
NIFTY 100,NTPC
NIFTY 100,WIPRO
NIFTY 100,CHOLAFIN
NIFTY 100,TRENT
NIFTY 100,RECLTD
NIFTY 100,BAJAJ-AUTO
NIFTY 100,SOLARINDS
NIFTY 100,APOLLOHOSP
NIFTY 100,POWERGRID
NIFTY 100,ADANIGREEN
NIFTY 100,HCLTECH
NIFTY 100,TVSMOTOR
NIFTY 100,TITAN
NIFTY 100,DLF
NIFTY 100,MOTHERSON
NIFTY 100,TECHM
NIFTY 100,PNB
NIFTY 100,ASIANPAINT
NIFTY 100,CIPLA
NIFTY 100,ULTRACEMCO
NIFTY 100,JSWENERGY
NIFTY 100,GAIL
NIFTY 100,SUNPHARMA
NIFTY 100,BANKBARODA
NIFTY 100,DMART
NIFTY 100,MAXHEALTH
NIFTY 100,BAJAJFINSV
NIFTY 100,LODHA
NIFTY 100,CGPOWER
NIFTY 100,ABB
NIFTY 100,NAUKRI
NIFTY 100,HDFCLIFE
NIFTY 100,IRFC
NIFTY 100,BRITANNIA
NIFTY 100,ADANIENSOL
NIFTY 100,AMBUJACEM
NIFTY 100,NESTLEIND
NIFTY 100,INDHOTEL
NIFTY 100,SIEMENS
NIFTY 100,DIVISLAB
NIFTY 100,LICI
NIFTY 100,SBILIFE
NIFTY 100,JINDALSTEL
NIFTY 100,PIDILITIND
NIFTY 100,TORNTPHARM
NIFTY 100,UNITDSPR
NIFTY 100,TATACONSUM
NIFTY 100,HAVELLS
NIFTY 100,DRREDDY
NIFTY 100,ICICIGI
NIFTY 100,BOSCHLTD
NIFTY 100,BAJAJHLDNG
NIFTY 100,ZYDUSLIFE
NIFTY 100,SHREECEM
NIFTY 100,BAJAJHFL
NIFTY 100,LTM
NIFTY 100,ENRIN
NIFTY 100,HYUNDAI
NIFTY 100,GODREJCP
