FetchedAt,Index,Symbol,LivePrice,PrevEODClose,ChangePct,SMA20,SMA50,SMA200,AboveSMA20,AboveSMA50,AboveSMA200,High52W,Low52W,NearHigh_7pct,NearLow_7pct,PriceToHigh52_pct,PriceToLow52_pct,Hist_1D_Price,Hist_1D_SMA20,Hist_1D_SMA50,Hist_1D_SMA200,Hist_1W_Price,Hist_1W_SMA20,Hist_1W_SMA50,Hist_1W_SMA200,Hist_1M_Price,Hist_1M_SMA20,Hist_1M_SMA50,Hist_1M_SMA200,Hist_3M_Price,Hist_3M_SMA20,Hist_3M_SMA50,Hist_3M_SMA200,Error
2026-03-25 19:27 IST,Nifty 100,HDFCBANK,782.3,764.9,2.27,843.89,894.83,961.82,NO,NO,NO,1012.9,744.15,NO,YES,-22.77,5.13,744.15,NO,NO,NO,845.35,NO,NO,NO,911.85,NO,NO,NO,987.7,NO,NO,YES,
2026-03-25 19:27 IST,Nifty 100,ETERNAL,242.18,237.94,1.78,234.76,262.65,291.1,YES,NO,NO,354.35,201.7,NO,NO,-31.66,20.07,226.96,NO,NO,NO,234.63,NO,NO,NO,269.45,NO,NO,NO,286.05,NO,NO,YES,
2026-03-25 19:27 IST,Nifty 100,RELIANCE,1413.1,1411.8,0.09,1397.04,1416.21,1447.32,YES,NO,NO,1592.3,1161.06,NO,NO,-11.25,21.71,1407.8,YES,NO,NO,1397.6,NO,NO,NO,1419.4,NO,NO,NO,1575.4,YES,YES,YES,
2026-03-25 19:27 IST,Nifty 100,ICICIBANK,1259.7,1251.2,0.68,1310.3,1359.65,1388.83,NO,NO,NO,1477.2,1222.7,NO,YES,-14.72,3.03,1222.7,NO,NO,NO,1288.7,NO,NO,NO,1394.5,YES,YES,NO,1368.5,NO,NO,NO,
2026-03-25 19:27 IST,Nifty 100,LT,3649.3,3516.8,3.77,3806.22,3938.56,3813.96,NO,NO,NO,4418.1,3025.93,NO,NO,-17.4,20.6,3342.4,NO,NO,NO,3542.8,NO,NO,NO,4380.6,YES,YES,YES,4072.4,YES,YES,YES,
2026-03-25 19:27 IST,Nifty 100,AXISBANK,1222.1,1192.7,2.46,1285.97,1311.12,1213.34,NO,NO,YES,1403.0,1045.2,NO,NO,-12.89,16.92,1170.6,NO,NO,NO,1228.1,NO,NO,YES,1368.3,YES,YES,YES,1233.2,NO,NO,YES,
2026-03-25 19:27 IST,Nifty 100,SBIN,1060.6,1030.8,2.89,1115.81,1107.1,934.95,NO,NO,YES,1227.8,727.59,NO,NO,-13.62,45.77,1031.9,NO,NO,YES,1064.7,NO,NO,YES,1216.1,YES,YES,YES,974.3,YES,YES,YES,
2026-03-25 19:27 IST,Nifty 100,VEDL,669.65,651.6,2.77,699.81,688.7,530.92,NO,NO,YES,766.35,351.82,NO,NO,-12.62,90.34,645.75,NO,NO,YES,699.35,NO,YES,YES,682.45,NO,YES,YES,585.65,YES,YES,YES,
2026-03-25 19:27 IST,Nifty 100,ONGC,270.2,268.05,0.8,271.59,261.74,239.29,NO,YES,YES,282.2,208.55,YES,NO,-4.25,29.56,265.45,NO,YES,YES,264.75,NO,YES,YES,278.65,YES,YES,YES,228.8,NO,NO,NO,
2026-03-25 19:27 IST,Nifty 100,SHRIRAMFIN,956.0,903.6,5.8,1012.3,1017.98,794.42,NO,NO,YES,1104.6,568.19,NO,NO,-13.45,68.25,877.7,NO,NO,YES,1004.6,NO,NO,YES,1059.3,YES,YES,YES,934.85,YES,YES,YES,
2026-03-25 19:27 IST,Nifty 100,INFY,1279.1,1278.3,0.06,1276.4,1436.86,1504.74,YES,NO,NO,1689.8,1220.8,NO,YES,-24.3,4.78,1256.8,NO,NO,NO,1232.9,NO,NO,NO,1353.2,NO,NO,NO,1689.6,YES,YES,YES,
2026-03-25 19:27 IST,Nifty 100,BAJFINANCE,882.75,849.0,3.98,916.51,946.92,965.99,NO,NO,NO,1094.15,812.6,NO,NO,-19.32,8.63,812.6,NO,NO,NO,868.6,NO,NO,NO,1030.2,YES,YES,YES,1007.8,NO,NO,YES,
2026-03-25 19:27 IST,Nifty 100,M&M,3128.1,3031.3,3.19,3208.78,3412.87,3433.62,NO,NO,NO,3802.4,2471.39,NO,NO,-17.73,26.57,2955.8,NO,NO,NO,3128.9,NO,NO,NO,3412.8,NO,NO,NO,3616.7,NO,NO,YES,
2026-03-25 19:27 IST,Nifty 100,TCS,2377.4,2398.8,-0.89,2497.75,2798.46,3023.17,NO,NO,NO,3535.56,2356.0,NO,YES,-32.76,0.91,2383.8,NO,NO,NO,2391.7,NO,NO,NO,2686.2,NO,NO,NO,3265.54,YES,YES,YES,
2026-03-25 19:27 IST,Nifty 100,BHARTIARTL,1834.9,1802.1,1.82,1854.57,1944.3,1974.18,NO,NO,NO,2162.7,1672.67,NO,NO,-15.16,9.7,1795.9,NO,NO,NO,1827.0,NO,NO,NO,1977.4,NO,NO,YES,2147.6,YES,YES,YES,
2026-03-25 19:27 IST,Nifty 100,COALINDIA,443.7,442.1,0.36,447.37,432.35,387.51,NO,YES,YES,470.1,348.03,YES,NO,-5.62,27.49,455.25,YES,YES,YES,462.25,YES,YES,YES,423.55,YES,YES,YES,381.21,YES,YES,YES,
2026-03-25 19:27 IST,Nifty 100,BEL,413.45,414.45,-0.24,442.01,433.95,408.21,NO,NO,YES,468.45,270.32,NO,NO,-11.74,52.95,405.5,NO,NO,NO,439.35,NO,YES,YES,439.28,YES,YES,YES,397.26,YES,NO,YES,
2026-03-25 19:27 IST,Nifty 100,INDIGO,4294.7,4150.8,3.47,4401.82,4670.12,5392.38,NO,NO,NO,6155.5,3945.3,NO,NO,-30.23,8.86,3945.3,NO,NO,NO,4287.9,NO,NO,NO,4854.6,NO,NO,NO,5145.5,NO,NO,NO,
2026-03-25 19:27 IST,Nifty 100,GRASIM,2647.8,2549.4,3.86,2704.6,2785.37,2784.54,NO,NO,NO,2958.7,2459.2,NO,NO,-10.51,7.67,2531.1,NO,NO,NO,2683.3,NO,NO,NO,2832.8,NO,YES,YES,2809.7,YES,YES,YES,
2026-03-25 19:27 IST,Nifty 100,ITC,295.7,291.25,1.53,307.48,315.13,377.68,NO,NO,NO,425.96,290.45,NO,YES,-30.58,1.81,290.45,NO,NO,NO,304.85,NO,NO,NO,327.0,YES,NO,NO,394.43,YES,NO,NO,
2026-03-25 19:27 IST,Nifty 100,MAZDOCK,2255.9,2253.0,0.13,2327.15,2375.55,2701.73,NO,NO,NO,3728.0,2165.4,NO,YES,-39.49,4.18,2206.7,NO,NO,NO,2362.3,YES,NO,NO,2360.2,NO,NO,NO,2536.9,YES,NO,NO,
2026-03-25 19:27 IST,Nifty 100,BPCL,284.55,282.25,0.81,331.75,351.05,332.11,NO,NO,NO,388.3,255.42,NO,NO,-26.72,11.4,271.3,NO,NO,NO,300.05,NO,NO,NO,366.3,NO,YES,YES,359.75,YES,YES,YES,
2026-03-25 19:27 IST,Nifty 100,KOTAKBANK,371.1,366.85,1.16,389.86,408.4,417.06,NO,NO,NO,453.24,356.55,NO,YES,-18.12,4.08,356.55,NO,NO,NO,374.2,NO,NO,NO,421.35,YES,NO,YES,429.94,YES,YES,YES,
2026-03-25 19:27 IST,Nifty 100,JIOFIN,237.35,232.7,2.0,241.93,256.48,295.91,NO,NO,NO,333.38,213.19,NO,NO,-28.8,11.33,226.1,NO,NO,NO,237.6,NO,NO,NO,258.6,NO,NO,NO,296.95,NO,NO,YES,
2026-03-25 19:27 IST,Nifty 100,TATASTEEL,196.65,190.79,3.07,197.96,196.93,174.48,NO,NO,YES,215.52,124.28,NO,NO,-8.76,58.23,187.17,NO,NO,YES,195.43,NO,NO,YES,208.36,YES,YES,YES,169.22,YES,NO,YES,
2026-03-25 19:27 IST,Nifty 100,IOC,140.52,138.7,1.31,160.49,163.69,150.41,NO,NO,NO,185.14,119.77,NO,NO,-24.1,17.32,138.11,NO,NO,NO,146.68,NO,NO,NO,171.63,YES,YES,YES,161.62,YES,YES,YES,
2026-03-25 19:27 IST,Nifty 100,HINDALCO,868.65,854.65,1.64,924.99,936.12,800.0,NO,NO,YES,1024.05,557.71,NO,NO,-15.18,55.75,840.25,NO,NO,YES,936.65,YES,NO,YES,935.7,NO,YES,YES,864.55,YES,YES,YES,
2026-03-25 19:27 IST,Nifty 100,HAL,3669.4,3654.0,0.42,3913.9,4132.56,4493.86,NO,NO,NO,5068.38,3634.6,NO,YES,-27.6,0.96,3634.6,NO,NO,NO,3963.1,NO,NO,NO,4170.0,NO,NO,NO,4349.96,YES,NO,NO,
2026-03-25 19:27 IST,Nifty 100,MARUTI,12711.0,12464.0,1.98,13622.8,14652.94,14724.7,NO,NO,NO,17292.0,11208.44,NO,NO,-26.49,13.41,12355.0,NO,NO,NO,12972.0,NO,NO,NO,14977.0,NO,NO,YES,16649.0,YES,YES,YES,
2026-03-25 19:27 IST,Nifty 100,TATAPOWER,390.7,384.75,1.55,385.34,374.16,386.99,YES,YES,YES,414.7,345.25,YES,NO,-5.79,13.16,386.95,YES,YES,NO,400.85,YES,YES,YES,378.0,YES,YES,NO,380.8,NO,NO,NO,
2026-03-25 19:27 IST,Nifty 100,HINDZINC,517.7,497.05,4.15,566.61,608.71,512.78,NO,NO,YES,727.2,392.79,NO,NO,-28.81,31.8,487.65,NO,NO,NO,546.35,NO,NO,YES,589.35,NO,NO,YES,606.5,YES,YES,YES,
2026-03-25 19:27 IST,Nifty 100,PFC,403.45,398.75,1.18,407.73,394.09,384.99,NO,YES,YES,428.85,329.17,YES,NO,-5.92,22.57,398.0,NO,YES,YES,414.76,YES,YES,YES,406.87,YES,YES,YES,337.37,NO,NO,NO,
