index,stocks
NIFTY MICROCAP 250,STLTECH
NIFTY MICROCAP 250,NAZARA
NIFTY MICROCAP 250,GRINFRA
NIFTY MICROCAP 250,SHAILY
NIFTY MICROCAP 250,BELRISE
NIFTY MICROCAP 250,WEBELSOLAR
NIFTY MICROCAP 250,KTKBANK
NIFTY MICROCAP 250,KRN
NIFTY MICROCAP 250,ACUTAAS
NIFTY MICROCAP 250,CYIENTDLM
NIFTY MICROCAP 250,CSBBANK
NIFTY MICROCAP 250,UJJIVANSFB
NIFTY MICROCAP 250,MOIL
NIFTY MICROCAP 250,KPIGREEN
NIFTY MICROCAP 250,MTARTECH
NIFTY MICROCAP 250,SOUTHBANK
NIFTY MICROCAP 250,CARTRADE
NIFTY MICROCAP 250,ROUTE
NIFTY MICROCAP 250,EDELWEISS
NIFTY MICROCAP 250,PARADEEP
NIFTY MICROCAP 250,LUMAXTECH
NIFTY MICROCAP 250,UNIMECH
NIFTY MICROCAP 250,HCC
NIFTY MICROCAP 250,TIMETECHNO
NIFTY MICROCAP 250,PARAS
NIFTY MICROCAP 250,THOMASCOOK
NIFTY MICROCAP 250,AVANTIFEED
NIFTY MICROCAP 250,WAAREERTL
NIFTY MICROCAP 250,WABAG
NIFTY MICROCAP 250,SHAKTIPUMP
NIFTY MICROCAP 250,TDPOWERSYS
NIFTY MICROCAP 250,DCAL
NIFTY MICROCAP 250,PCJEWELLER
NIFTY MICROCAP 250,PNGJL
NIFTY MICROCAP 250,AHLUCONT
NIFTY MICROCAP 250,ZAGGLE
NIFTY MICROCAP 250,AETHER
NIFTY MICROCAP 250,BLACKBUCK
NIFTY MICROCAP 250,STAR
NIFTY MICROCAP 250,ZYDUSWELL
NIFTY MICROCAP 250,SWSOLAR
NIFTY MICROCAP 250,DCBBANK
NIFTY MICROCAP 250,SANSERA
NIFTY MICROCAP 250,GOKEX
NIFTY MICROCAP 250,THANGAMAYL
NIFTY MICROCAP 250,INDIASHLTR
NIFTY MICROCAP 250,RAIN
NIFTY MICROCAP 250,OSWALPUMPS
NIFTY MICROCAP 250,SHARDACROP
NIFTY MICROCAP 250,RENUKA
NIFTY MICROCAP 250,IXIGO
NIFTY MICROCAP 250,RTNPOWER
NIFTY MICROCAP 250,AARTIDRUGS
NIFTY MICROCAP 250,TEXRAIL
NIFTY MICROCAP 250,TI
NIFTY MICROCAP 250,EIEL
NIFTY MICROCAP 250,TANLA
NIFTY MICROCAP 250,KRBL
NIFTY MICROCAP 250,SAFARI
NIFTY MICROCAP 250,ANURAS
